id,state,chamber,committee,subcommittee,parent_id
VAC000001,va,lower,Appropriations,,
VAC000002,va,lower,"Health, Welfare and Institutions",,
VAC000003,va,lower,Privileges and Elections,,
VAC000004,va,lower,General Laws,,
VAC000005,va,lower,Rules,,
VAC000006,va,lower,"Agriculture, Chesapeake and Natural Resources",,
VAC000007,va,lower,Commerce and Labor,,
VAC000008,va,lower,"Counties, Cities and Towns",,
VAC000009,va,lower,"Militia, Police and Public Safety",,
VAC000010,va,lower,Science and Technology,,
VAC000011,va,lower,Courts of Justice,,
VAC000012,va,lower,Transportation,,
VAC000013,va,lower,Education,,
VAC000014,va,lower,Finance,,
VAC000015,va,upper,"Agriculture, Conservation and Natural Resources",,
VAC000016,va,upper,Commerce and Labor,,
VAC000017,va,upper,Finance,,
VAC000018,va,upper,Transportation,,
VAC000019,va,upper,Courts of Justice,,
VAC000020,va,upper,Education and Health,,
VAC000021,va,upper,Local Government,,
VAC000022,va,upper,Rules,,
VAC000023,va,upper,Rehabilitation and Social Services,,
VAC000024,va,upper,Privileges and Elections,,
VAC000025,va,upper,General Laws and Technology,,
